5 8 41 65 66 20 
14 29 31 56 61 1 
7 36 48 57 58 24 
6 19 37 49 59 22 
3 7 15 27 69 19 
8 12 42 46 56 12 
12 42 51 53 62 25 
5 25 38 52 67 24 
21 28 30 40 59 26 
15 29 31 37 43 16 
8 38 43 52 55 17 
4 9 21 29 64 26 
14 32 34 46 61 10 
9 11 36 37 38 11 
10 11 47 55 58 26 
4 19 59 68 69 21 
11 33 51 56 58 18 
7 14 23 38 55 18 
6 8 20 52 68 5 
7 42 49 62 69 23 
5 29 34 53 57 24 
26 28 34 42 50 25 
15 21 24 32 65 11 
7 25 39 40 47 20 
8 12 13 19 27 4 
3 21 45 53 56 22 
16 54 57 62 69 23 
3 57 64 68 69 15 
11 14 32 43 65 15 
8 23 27 42 60 7 
1 22 27 53 67 15 
41 53 59 63 66 3 
9 17 34 59 64 22 
1 2 7 30 50 8 
24 61 63 64 69 18 
4 39 48 50 51 11 
2 18 19 24 34 3 
6 28 48 63 64 24 
3 13 20 32 33 21 
6 15 50 59 60 13 
11 54 55 61 66 9 
25 41 53 57 67 12 
20 25 54 57 63 8 
1 7 45 47 69 13 
24 34 52 61 67 16 
12 15 28 47 48 16 
5 43 56 62 68 24 
10 21 30 43 63 17 
3 11 38 44 58 2 
5 22 32 38 58 26 
22 27 46 56 65 13 
2 18 41 44 64 26 
9 23 56 58 68 1 
1 10 27 28 36 12 
22 41 42 49 67 11 
19 21 27 46 47 7 
1 10 43 45 64 22 
4 7 15 41 44 10 
3 9 20 42 61 24 
7 28 37 62 63 15 
16 29 43 45 56 25 
4 14 23 27 56 13 
9 45 57 58 65 9 
13 20 38 45 55 1 
6 10 15 25 36 14 
23 28 41 53 56 14 
23 25 37 44 64 7 
17 23 26 46 68 20 
1 21 31 45 49 21 
20 54 56 61 64 7 
3 6 9 17 56 25 
17 19 21 22 51 19 
22 42 45 55 56 14 
11 16 38 50 69 19 
14 29 36 57 61 17 
5 14 31 40 50 6 
20 22 28 45 50 8 
17 18 39 56 64 12 
40 50 54 62 69 19 
9 10 12 17 23 9 
17 19 26 61 62 15 
16 18 27 55 67 18 
2 17 20 38 39 20 
8 24 42 54 64 24 
8 24 52 55 61 21 
6 8 26 52 53 21 
10 33 45 53 56 24 
3 4 18 29 61 25 
22 57 59 60 66 7 
6 12 24 41 68 9 
43 44 54 61 69 22 
6 13 19 36 51 18 
13 17 25 36 40 5 
12 30 59 65 69 16 
24 25 38 62 63 6 
7 15 31 34 36 8 
13 26 39 44 62 2 
37 39 44 46 69 26 
1 13 27 41 59 20 
23 34 35 40 47 10 
